SDSS Object ID,RA,DEC,X-ray,Ks mag,zsp,rmag,DR1 Source,RA,DEC,Sint,DR2 Source,RA2,DEC2,SpeakTot,e_Sint,Offset,WISE,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W23,W12,FIRST Flux (mJy),VLASS Flux (mJy),Spec from VLASS (upper limit),Spec from FIRST (upper limit),Metallicity,Log(SFR),C Log(SFR),Log(Mass),Log(sSFR),OIII5008,OIII5008_err,HBeta,HBeta_err,NII6548,NII6548_err,HAlpha,HAlpha_err,SII6731,e_SII6731	,SII6717,e_SII6717,SIIsummed,SIIsummed_err,OI6302,OI6302_err,cont (ha),flux/cont (WHa),cont_err,Radio Loudness,Spec from VLASS (upper limit),Spec from FIRST (upper limit),OIII/Hbeta,Class (VLASS),Class (FIRST),gmag
1237661358079672476,179.45452,47.90263,1.51E-12,14.440,0.03202,16.963,ILTJ115749.08+475409.0,179.4545,47.9025,2.1,ILTJ115749.07+475408.8,179.45445,47.90246,2.861,0.151,0.63,J115749.08+475409.0,13.56,0.023,13.368,0.027,9.408,0.032,3.96,0.192,0.45,0.48,-0.59,-0.82,8.6654,0.194,-0.36,9.654,-10.014,39.323,0.016,39.574,0.01,39.317,0.006,40.249,0.004,39.388,0.013,39.527,0.01,78.915,0.023,38.648,0.055,38.543,1.044262253,0.023,0.96,-0.59,-0.82,-0.25,2,1,17.66
1237657857145634895,175.739127,52.465577,1.73E-12,14.388,0.02955,15.841,ILTJ114257.32+522755.7,175.7388,52.4655,1,ILTJ114257.32+522755.7,175.73883,52.4655,1.518,0.235,0.7,J114257.41+522756.1,13.506,0.025,13.338,0.029,9.651,0.043,3.687,0.168,0.45,0.48,-0.38,-0.54,8.5304,0.119,-0.071,9.726,-9.797,39.867,0.007,39.807,0.007,39.341,0.006,40.383,0.004,39.471,0.011,39.632,0.009,79.103,0.02,38.816,0.035,38.634,1.045271005,0.012,0.12,-0.38,-0.54,0.06,3,2,16.258
1237661434309509232,188.745927,47.336433,3.61E-12,14.069,0.03092,16.203,ILTJ123459.04+472010.6,188.746,47.3363,1.2,ILTJ123459.09+472011.0,188.74622,47.33639,1.89,0.169,0.73,J123459.01+472011.0,13.423,0.024,13.237,0.027,9.414,0.033,3.823,0.186,0.45,0.48,-0.46,-0.64,8.7227,0.204,-0.085,9.917,-10.002,39.066,0.028,39.491,0.012,39.262,0.007,40.189,0.005,39.355,0.015,39.49,0.012,78.845,0.027,38.583,0.068,38.667,1.03936173,0.031,0.50,-0.46,-0.64,-0.42,2,2,16.95
1237661151915671606,196.938218,50.013381,6.95E-12,14.759,0.03327,16.462,ILTJ130745.06+500048.2,196.9378,50.0134,1.4,ILTJ130745.10+500048.3,196.9379,50.01343,1.84,0.164,0.76,J130745.16+500048.1,14.019,0.027,13.803,0.033,9.933,0.045,3.87,0.216,0.45,0.48,-0.45,-0.63,8.4976,0.011,-0.152,9.252,-9.404,40.048,0.007,39.987,0.007,39.349,0.006,40.493,0.004,39.608,0.01,39.76,0.008,79.368,0.018,38.934,0.034,38.712,1.046006406,0.015,0.40,-0.45,-0.63,0.06,2,2,16.738
1237661387608424652,225.430628,50.363544,3.05E-12,14.616,0.02567,16.01,ILTJ150143.31+502148.7,225.4305,50.3635,1.6,ILTJ150143.27+502148.3,225.43029,50.36344,2.427,0.205,0.86,J150143.33+502148.6,13.385,0.024,13.15,0.025,9.232,0.025,3.918,0.235,0.45,0.48,-0.54,-0.75,8.586,0.163,-0.353,9.600,-9.953,39.277,0.013,39.432,0.01,38.998,0.008,40.083,0.004,39.232,0.012,39.349,0.01,78.581,0.022,38.561,0.04,38.359,1.04494382,0.02,0.45,-0.54,-0.75,-0.16,2,1,16.574
1237659163879669821,227.960244,50.140438,2.62E-12,15.400,0.03251,16.773,ILTJ151150.46+500824.8,227.9603,50.1402,1.2,ILTJ151150.49+500824.6,227.96038,50.14019,1.401,0.187,0.95,J151150.47+500825.3,14.254,0.026,13.883,0.031,9.662,0.035,4.221,0.371,0.45,0.48,-0.36,-0.51,8.3429,0.184,0.145,9.157,-9.012,40.555,0.004,40.206,0.005,39.463,0.005,40.802,0.004,39.731,0.008,39.852,0.007,79.583,0.015,38.985,0.025,38.534,1.058857113,0.02,0.40,-0.36,-0.51,0.35,3,2,17.044
1237661358074888261,163.652437,46.102376,1.66E-12,13.595,0.03846,16.22,ILTJ105436.55+460608.7,163.6523,46.1024,1.4,ILTJ105436.51+460609.1,163.65213,46.10253,1.914,0.169,0.96,J105436.58+460607.8,13.184,0.031,13.002,0.033,9.317,0.041,3.685,0.182,0.45,0.48,-0.46,-0.64,8.7612,0.476,0.122,10.214,-10.092,38.824,0.074,39.302,0.025,39.21,0.013,40.07,0.007,39.184,0.034,39.391,0.023,78.575,0.057,38.783,0.077,38.897,1.030156567,0.017,0.47,-0.46,-0.64,-0.48,2,2,16.869
1237658204505047118,162.575006,47.771199,2.77E-12,14.470,0.04061,16.495,ILTJ105017.96+474616.6,162.5748,47.7713,1.1,ILTJ105017.92+474616.7,162.57466,47.77133,1.742,0.18,0.97,J105018.00+474616.3,13.711,0.025,13.531,0.031,9.7,0.041,3.831,0.18,0.45,0.48,-0.43,-0.60,8.7904,0.243,-0.028,9.704,-9.732,39.236,0.036,39.858,0.011,39.537,0.007,40.449,0.005,39.596,0.016,39.717,0.013,79.313,0.029,38.827,0.074,38.915,1.039419247,0.017,0.48,-0.43,-0.60,-0.62,2,2,16.994
1237661416068546581,223.532247,49.429155,1.57E-12,12.231,0.02607,14.552,ILTJ145408.07+492540.7,223.5336,49.428,1.5,ILTJ145408.04+492539.8,223.53351,49.42775,1.584,0.184,5.87,J145407.75+492544.8,11.683,0.023,11.748,0.021,11.103,0.082,0.645,-0.065,0.45,0.48,-0.40,-0.56,,-0.348,-1.808,10.547,-12.355,38.877,0.116,38.769,0.169,38.067,0.335,38.931,0.174,37.966,1.22,0,,37.966,1.22,0,,39.286,0.9909637021,0.005,-0.20,-0.40,-0.56,0.11,2,2,15.407
1237661356471353453,187.357579,46.802982,2.42E-12,13.282,0.03949,14.794,ILTJ122925.82+464819.9,187.3576,46.8055,1.1,ILTJ122925.84+464819.9,187.35766,46.80553,1.372,0.133,9.18,J122925.81+464810.8,12.433,0.023,12.473,0.024,11.444,0.155,1.029,-0.04,0.45,0.48,-0.35,-0.50,,-0.186,-1.49,10.800,-12.290,39.118,0.054,38.837,0.119,38.561,0.063,39.292,0.051,38.499,0.212,38.869,0.093,77.368,0.305,37.779,1.053,39.252,1.001019056,0.016,-0.24,-0.35,-0.50,0.28,3,2,15.45
1237661358611955813,164.138048,46.631512,4.44E-12,0.000,0.03863,16.475,ILTJ105632.55+463803.5,164.1356,46.6343,0.8,ILTJ105632.59+463802.8,164.13579,46.63412,1.56,0.173,10.94,J105633.13+463753.8,14.825,0.032,14.574,0.051,11.285,0.17,3.289,0.251,0.45,0.48,-0.39,-0.55,8.6032,-0.238,-0.075,9.466,-9.541,38.789,0.051,38.985,0.032,38.473,0.028,39.544,0.01,38.852,0.035,38.923,0.032,77.775,0.067,38.226,0.139,38.34,1.031403234,0.038,0.35,-0.39,-0.55,-0.20,3,2,16.792
1237662303510855714,222.393422,47.376157,3.87E-11,12.267,0.02579,13.15,ILTJ144935.73+472217.5,222.3989,47.3715,1.9,ILTJ144935.71+472217.2,222.3988,47.37146,2.998,0.205,21.4,J144934.42+472234.2,11.104,0.023,11.141,0.02,9.694,0.035,1.447,-0.037,0.45,0.48,-0.61,-0.84,8.7875,0.336,-1.376,11.137,-12.513,38.817,0.083,38.908,0.074,38.975,0.029,39.366,0.039,38.794,0.115,38.964,0.078,77.758,0.193,38.501,0.203,39.21,1.003978577,0.018,-0.51,-0.61,-0.84,-0.09,2,1,13.923
1237661417678569692,222.988848,51.264868,2.15E-12,13.028,0.02587,13.862,ILTJ145159.56+511540.7,222.9982,51.2613,1.4,ILTJ145159.46+511540.8,222.99776,51.26135,1.291,0.156,23.74,J145157.36+511553.7,11.762,0.023,11.854,0.021,9.294,0.028,2.56,-0.092,0.45,0.48,-0.33,-0.47,,0.176,-0.433,10.680,-11.113,38.387,0.125,38.348,0.125,38.434,0.046,38.918,0.042,38.158,0.231,38.318,0.16,76.476,0.391,37.504,0.972,38.918,1,0.011,-0.60,-0.33,-0.47,0.04,3,2,14.613
1237659120936878166,226.065735,48.164701,1.84E-12,14.993,0.03143,16.208,ILTJ150413.43+480943.5,226.056,48.1621,1.4,ILTJ150413.50+480942.7,226.05627,48.16186,1.419,0.166,24.93,J150415.87+480954.3,13.312,0.025,13.21,0.026,9.933,0.036,3.277,0.102,0.45,0.48,-0.36,-0.51,8.6209,0.249,-0.933,9.903,-10.836,38.621,0.052,38.769,0.035,38.353,0.025,39.321,0.011,38.576,0.045,38.808,0.029,77.384,0.074,37.861,0.242,38.287,1.027006556,0.033,0.33,-0.36,-0.51,-0.15,3,2,16.853
