SDSS Object ID,RA,DEC,zsp,DR1 Source,RA,DEC,Sint,DR2 Source,RA,DEC,Sint,Offset,WISE,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W23,W12
1237661958300238042,219.726696,46.665612,0.03586,ILTJ143854.42+463956.4,219.7268,46.6657,3.3,ILTJ143854.41+463956.1,219.72669,46.66561,4.081,0.02,J143854.41+463956.2,11.471,0.023,11.499,0.02,10.405,0.061,1.094,-0.028
1237661356471353453,187.357579,46.802982,0.03949,ILTJ122925.82+464819.9,187.3576,46.8055,1.1,ILTJ122925.84+464819.9,187.35766,46.80553,1.372,9.18,J122925.81+464810.8,12.433,0.023,12.473,0.024,11.444,0.155,1.029,-0.04
1237661361833574526,198.189114,46.934976,0.02768,ILTJ131245.38+465605.9,198.1891,46.935,2.9,ILTJ131245.38+465605.9,198.18908,46.93499,3.676,0.1,J131245.37+465605.9,12.495,0.024,12.367,0.023,8.577,0.022,3.79,0.128
1237662302436655242,220.375093,47.010421,0.03518,ILTJ144130.01+470037.2,220.375,47.0104,3,ILTJ144130.02+470037.5,220.37507,47.01043,4.974,0.06,J144130.01+470038.4,12.624,0.031,12.432,0.033,8.561,0.031,3.871,0.192
1237661357006782506,182.486277,47.095991,0.03145,ILTJ120956.71+470545.2,182.4863,47.0959,1.5,ILTJ120956.73+470545.5,182.48638,47.096,2.067,0.25,J120956.71+470545.5,12.547,0.023,12.552,0.024,11.553,0.164,0.999,-0.005
1237658203443691680,205.147114,47.13649,0.04002,ILTJ134035.20+470810.9,205.1467,47.1364,0.9,ILTJ134035.23+470811.4,205.14678,47.13651,0.937,0.82,J134035.31+470811.1,13.49,0.025,13.334,0.028,10.154,0.057,3.18,0.156
1237661362370379868,197.930488,47.332465,0.02853,ILTJ131143.31+471956.9,197.9305,47.3325,5.4,ILTJ131143.32+471956.9,197.93048,47.33248,6.097,0.06,J131143.28+471957.3,12.287,0.025,12.356,0.026,10.761,0.111,1.595,-0.069
1237661434309509232,188.745927,47.336433,0.03092,ILTJ123459.04+472010.6,188.746,47.3363,1.2,ILTJ123459.09+472011.0,188.74622,47.33639,1.89,0.73,J123459.01+472011.0,13.423,0.024,13.237,0.027,9.414,0.033,3.823,0.186
1237661435386134742,198.703064,47.34569,0.03675,ILTJ131448.59+472044.1,198.7025,47.3456,0.8,ILTJ131448.60+472044.7,198.7025,47.34576,1.049,1.4,J131448.72+472044.5,14.514,0.028,14.229,0.04,10.593,0.07,3.636,0.285
1237662303510855714,222.393422,47.376157,0.02579,ILTJ144935.73+472217.5,222.3989,47.3715,1.9,ILTJ144935.71+472217.2,222.3988,47.37146,2.998,21.4,J144934.42+472234.2,11.104,0.023,11.141,0.02,9.694,0.035,1.447,-0.037
1237661357544046694,183.734652,47.518376,0.02397,ILTJ121456.29+473106.1,183.7345,47.5184,1.8,ILTJ121456.28+473105.8,183.73452,47.5183,2.06,0.42,J121456.32+473106.0,13.351,0.024,13.182,0.028,8.904,0.027,4.278,0.169
1237658203980693549,205.804352,47.558644,0.03745,ILTJ134312.99+473331.6,205.8041,47.5588,0.8,ILTJ134312.98+473331.5,205.8041,47.55878,0.882,0.78,J134313.14+473332.2,13.74,0.026,13.625,0.032,10.571,0.071,3.054,0.115
1237661434846183460,188.253422,47.719688,0.03004,ILTJ123300.80+474310.6,188.2533,47.7196,1.6,ILTJ123300.77+474310.5,188.25322,47.71959,2.339,0.6,J123300.81+474310.8,12.42,0.023,12.327,0.023,8.836,0.027,3.491,0.093
